fea1,fea2,fea3,fea4,fea5
12,2,绿,692,57.6666666667
8,2,绿,199,24.875
3,2,绿,7,2.33333333333
21,2,绿,1000.581,47.6467142857
21,2,绿,978.755,46.6073809524
2,2,绿,42,21
12,2,绿,552.14,46.0116666667
5,2,绿,280,56
6,2,绿,116,19.3333333333
9,2,绿,7792,865.777777778
10,2,绿,292.243,29.2243
17,2,绿,1194,70.2352941176
2,2,绿,14,7
21,2,绿,60,2.85714285714
20,2,绿,74.977,3.74885
11,2,绿,2041,185.545454545
1,2,绿,8,8
57,2,绿,627,11
49,2,绿,5299,108.142857143
18,2,绿,710.698,39.4832222222
10,2,绿,216,21.6
16,2,绿,295,18.4375
17,2,绿,62.12,3.65411764706
14,2,绿,737,52.6428571429
3,2,绿,35,11.6666666667
7,2,绿,75,10.7142857143
1,2,绿,28,28
28,2,绿,4331,154.678571429
14,2,绿,780,55.7142857143
8,2,绿,758,94.75
12,2,绿,433,36.0833333333
6,2,绿,311,51.8333333333
13,2,绿,194,14.9230769231
17,2,绿,1313,77.2352941176
7,2,绿,78,11.1428571429
57,2,绿,224.692,3.94196491228
23,2,绿,281.963,12.2592608696
18,2,绿,1553,86.2777777778
28,2,绿,1430,51.0714285714
4,2,绿,35.897,8.97425
4,2,绿,13,3.25
31,2,绿,349,11.2580645161
4,2,绿,4,1
21,2,绿,1777,84.619047619
11,2,绿,630,57.2727272727
1,2,绿,27,27
2,2,绿,20,10
13,2,绿,5.749,0.442230769231
3,2,绿,7980,2660
18,2,绿,4460,247.777777778
27,2,绿,783,29
41,0,绿,1016.205,24.7854878049
16,0,绿,1588,99.25
49,0,绿,4085.806,83.3837959184
2,0,绿,33,16.5
14,0,绿,170,12.1428571429
12,0,绿,120,10
11,0,绿,482,43.8181818182
5,0,绿,52,10.4
20,0,绿,1639,81.95
10,0,绿,1198,119.8
2,0,绿,25,12.5
4,0,绿,81,20.25
2,0,绿,91,45.5
6,0,绿,27.608,4.60133333333
12,0,绿,300,25
10,0,绿,802,80.2
12,0,绿,1334,111.166666667
8,0,绿,35.44,4.43
4,0,绿,133,33.25
10,0,绿,452,45.2
14,0,绿,534,38.1428571429
15,0,绿,549,36.6
14,0,绿,178,12.7142857143
6,0,绿,847,141.166666667
10,0,绿,55.546,5.5546
6,0,绿,9,1.5
7,0,绿,271,38.7142857143
5,0,绿,122,24.4
3,0,绿,113,37.6666666667
16,1,绿,45.138,2.821125
4,1,绿,103,25.75
17,1,绿,91.849,5.40288235294
42,1,绿,6615,157.5
14,1,绿,202,14.4285714286
26,1,绿,498,19.1538461538
5,1,绿,89,17.8
5,1,绿,904,180.8
10,1,绿,1178,117.8
14,1,绿,85,6.07142857143
7,1,绿,253,36.1428571429
33,1,绿,372,11.2727272727
18,1,绿,52,2.88888888889
2,1,绿,207,103.5
17,1,绿,3201,188.294117647
2,1,绿,49,24.5
18,1,绿,33.436,1.85755555556
4,1,绿,153,38.25
18,1,绿,763.571,42.4206111111
18,1,绿,1691,93.9444444444
11,1,绿,454,41.2727272727
5,1,绿,162,32.4
7,1,绿,469,67
13,1,绿,131,10.0769230769
21,1,绿,3434,163.523809524
11,1,绿,560,50.9090909091
7,1,绿,243,34.7142857143
27,1,绿,248.956,9.22059259259
39,1,绿,5873,150.58974359
2,2,绿,41,20.5
17,2,绿,92,5.41176470588
1,1,绿,116,116
14,1,绿,874,62.4285714286
7,1,绿,1333.931,190.561571429
20,1,绿,689,34.45
8,1,绿,212,26.5
7,1,绿,780,111.428571429
7,1,绿,639,91.2857142857
54,1,绿,258.878,4.79403703704
12,1,绿,2636,219.666666667
66,1,绿,3264.677,49.4648030303
15,1,绿,1134,75.6
28,1,绿,342,12.2142857143
13,1,绿,1070.432,82.3409230769
5,1,绿,18,3.6
45,1,绿,400,8.88888888889
11,1,绿,671,61
25,1,绿,196,7.84
11,0,绿,762,69.2727272727
3,0,绿,3.036,1.012
9,0,绿,119,13.2222222222
13,0,绿,19041,1464.69230769
11,0,绿,1237,112.454545455
3,0,绿,57,19
20,0,绿,2663,133.15
14,0,绿,418,29.8571428571
66,0,绿,4057.886,61.4831212121
1,0,绿,2,2
2,0,绿,4,2
9,0,绿,70,7.77777777778
7,0,绿,313,44.7142857143
2,0,绿,3,1.5
2,0,绿,84,42
13,0,绿,2401,184.692307692
2,0,绿,37,18.5
6,0,绿,391,65.1666666667
13,1,绿,245,18.8461538462
13,1,绿,1107,85.1538461538
6,1,绿,278,46.3333333333
3,1,绿,178,59.3333333333
10,1,绿,1048,104.8
3,1,绿,174,58
11,1,绿,503,45.7272727273
8,1,绿,211,26.375
2,1,绿,15.633,7.8165
7,1,绿,570,81.4285714286
8,1,绿,104,13
3,1,绿,67,22.3333333333
2,1,绿,87,43.5
18,1,绿,259,14.3888888889
8,1,绿,64.676,8.0845
11,1,绿,208.293,18.9357272727
4,1,绿,6120,1530
6,1,绿,68,11.3333333333
6,1,绿,174.084,29.014
21,1,绿,3181,151.476190476
5,1,绿,24.8,4.96
1,1,绿,0.449,0.449
22,1,绿,566,25.7272727273
60,1,绿,8032,133.866666667
11,1,绿,711,64.6363636364
38,1,绿,166.4,4.37894736842
21,1,绿,383,18.2380952381
4,1,绿,90,22.5
4,1,绿,684,171
21,1,绿,3252,154.857142857
22,1,绿,14.921,0.678227272727
12,1,绿,19,1.58333333333
25,1,绿,574,22.96
13,1,绿,1104,84.9230769231
5,1,绿,719,143.8
29,1,绿,177,6.10344827586
15,1,绿,34.6,2.30666666667
10,1,绿,789,78.9
27,1,绿,1147.945,42.5164814815
1,1,绿,12,12
11,1,绿,356.366,32.3969090909
13,1,绿,46.489,3.57607692308
5,1,绿,107,21.4
50,1,绿,1219.682,24.39364
32,1,绿,2714.467,84.82709375
31,1,绿,840,27.0967741935
3,1,绿,607,202.333333333
3,1,绿,188,62.6666666667
8,1,绿,144,18
14,1,绿,1354,96.7142857143
11,1,绿,108,9.81818181818
32,1,绿,4126,128.9375
5,1,绿,49,9.8
17,1,绿,2289.606,134.682705882
8,1,绿,192,24
9,1,绿,807,89.6666666667
1,1,绿,74,74
14,1,绿,265,18.9285714286
13,1,绿,135,10.3846153846
3,1,绿,131,43.6666666667
20,1,绿,1273,63.65
7,1,绿,510,72.8571428571
24,1,绿,4739.721,197.488375
13,1,绿,197,15.1538461538
18,1,绿,2563,142.388888889
12,1,绿,217,18.0833333333
17,1,绿,1833.822,107.871882353
3,1,绿,209,69.6666666667
20,1,绿,495,24.75
48,1,绿,126,2.625
5,1,绿,601.574,120.3148
14,1,绿,149,10.6428571429
44,1,绿,564.781,12.8359318182
46,1,绿,1822.973,39.6298478261
16,1,绿,1014,63.375
9,1,绿,885,98.3333333333
29,1,绿,649,22.3793103448
10,1,绿,615,61.5
28,1,绿,341.864,12.2094285714
3,1,绿,8,2.66666666667
26,1,绿,226,8.69230769231
10,1,绿,419,41.9
23,1,绿,443,19.2608695652
18,1,绿,231,12.8333333333
4,1,绿,43.2,10.8
19,1,绿,1610.087,84.7414210526
17,1,绿,120.103,7.06488235294
23,0,绿,1505,65.4347826087
141,0,绿,277909,1970.9858156
39,0,绿,10442,267.743589744
45,0,绿,1289,28.6444444444
7,0,绿,528,75.4285714286
38,0,绿,1219,32.0789473684
57,0,绿,3693,64.7894736842
50,0,绿,1463,29.26
4,0,绿,8,2
2,0,绿,32,16
23,0,绿,210,9.13043478261
41,0,绿,250,6.09756097561
2,0,绿,2,1
7,0,绿,338.813,48.4018571429
22,0,绿,2033,92.4090909091
31,0,绿,881,28.4193548387
6,0,绿,6.125,1.02083333333
5,0,绿,156,31.2
13,0,绿,694,53.3846153846
10,0,绿,240,24
14,0,绿,197.11,14.0792857143
18,0,绿,544,30.2222222222
20,0,绿,1531,76.55
2,0,绿,130,65
1,0,绿,10,10
11,0,绿,284,25.8181818182
7,0,绿,466,66.5714285714
14,0,绿,174,12.4285714286
1,0,绿,17,17
1,1,绿,2,2
12,1,绿,121,10.0833333333
1,1,绿,2,2
15,1,绿,171,11.4
20,1,绿,68.134,3.4067
10,1,绿,200.217,20.0217
14,1,绿,352.347,25.1676428571
28,1,绿,3657,130.607142857
32,1,绿,784,24.5
10,1,绿,335,33.5
13,1,绿,79,6.07692307692
11,1,绿,387,35.1818181818
17,1,绿,307,18.0588235294
5,1,绿,104,20.8
7,1,绿,1168.306,166.900857143
